Sample,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BMU,BRA,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DNK,DZA,EGY,ESP,EST,FIN,FRA,GBR,GHA,GRC,GTM,HKG,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KEN,KOR,LBN,LTU,LVA,MAR,MEX,MKD,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROM,RUS,SAU,SGP,SLV,SVK,SWE,THA,TUR,TWN,UKR,USA
ARG,0,29117500,0,0,0,0,0,0,0,0,23550000,0,75000,11060000,0,25000,0,0,0,0,0,0,25000,0,0,0,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710000
AUS,0,0,0,107565269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3137342,6500000,0,0,0,0,0,0,0,0,19740000,0,0,0,0,0,0,0,416222833
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128660,0,0,0,0,800000,0,0,0,0,1801240,0,0,0
AZE,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,0,0,0,26000000,0,0,68790507,0,0,0,0,0,47200000,0,0,0,0,0,62500000,0,0,0,32442500,0,0,31510350,26365374,0,3900000,0,0,0,0,0,161200000,0,0,0,0,0,0,0,0,0,0,3200000,0,0,350000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66800000
BGR,0,0,64177,0,0,0,65665,0,3996856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618180,0,132173,0,0,64525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38484,0,0,0,0,0,0,0,0,0,0,76968,0,0,0,0,0,0,0,0,0,0,250963
BRA,0,1440000,0,0,0,0,0,0,0,0,40050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750000
CAN,0,0,0,0,0,0,0,0,0,0,70000000,2356903665,0,0,0,0,0,0,190798947,0,0,0,0,0,0,15439200,19032336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,0,3000000,0,0,0,0,101650000,0,0,1077562189
CHE,0,0,0,0,25732000,0,0,0,0,0,0,0,130142635,0,0,0,0,0,155988700,10000000,0,0,0,2150000,260000000,89780200,180219911,0,0,0,0,0,0,0,0,94265400,0,35000000,1286600,0,0,0,0,0,0,0,0,0,0,0,39884600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,1383300266
CHL,0,6960000,0,40000,40000,0,40000,0,0,0,770000,1120000,0,5050000,40000,0,40000,0,80000,40000,200000,0,500000,80000,0,120000,320000,0,40000,0,40000,0,80000,0,280000,80000,0,0,120000,0,0,0,0,0,0,0,80000,0,0,0,80000,40000,80000,0,80000,0,0,40000,0,80000,0,40000,40000,0,0,0,0,0,0,9303000
CHN,0,0,0,0,0,0,0,0,0,0,30000000,0,0,0,3010572300,0,0,0,62500000,0,0,0,0,0,0,0,3030502,0,0,0,105000000,0,0,0,364000000,0,0,11000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000000,0,0,0,0,0,0,0,981550000
COL,0,47500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88485564
CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0,0,0,2440000
DEU,0,0,0,0,35132000,0,0,0,0,0,39500000,29300000,4483240,0,10000000,0,0,0,667908315,7719600,0,0,1350930,0,6602480,85990420,44222011,0,0,0,0,0,0,0,17000000,48382700,0,0,1286600,0,0,0,0,0,0,0,50000000,0,314000000,0,9000000,0,6500000,0,0,0,104000,0,0,238400000,0,0,0,0,8909112,0,0,0,0,968525806
DNK,0,0,0,0,0,0,0,0,0,0,0,0,40936960,0,0,0,0,0,62500000,86589920,0,0,1310000,0,0,0,34849443,0,0,0,0,0,0,0,0,47132700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,404250000
ESP,0,558544,0,0,0,0,0,0,0,0,732454,103016,0,308035,0,278903,0,104624,1850326,0,53016,0,128335476,0,0,189385,11001848,0,0,0,0,0,50000,0,0,424352,0,0,25025,0,0,0,0,0,0,0,3521190,0,0,0,5918360,0,0,0,90000,0,0,0,1200000,0,0,3000000,0,247309,0,0,0,0,0,66009782
EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20395,0,0,0,0,2925973,13259,0,22410000,0,0,0,0,0,0,0,19889,0,0,0,13596,0,0,0,0,20395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147581282,0,9000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2900000,0,0,3000000,0,0,0,0,33244000
FRA,0,150000,0,150000,25732000,0,34079650,0,0,0,150000,3600000,166162841,0,21125000,0,0,0,118980700,0,0,0,2098400,200000,13946020,875485194,173575043,0,0,0,40552159,0,0,0,500000,3859800,0,9400000,1413176,12000000,0,0,0,0,0,0,0,0,0,0,8000000,0,0,150000,0,0,0,0,0,4500000,0,0,0,0,0,0,26230000,0,0,526814712
GBR,0,13300000,0,19615,300000,0,13738559,0,0,0,11450000,78494969,106998000,0,31000000,0,0,0,372625428,20467771,0,102000000,524801,0,146322615,128263215,1984470866,1219615,0,0,0,0,0,0,161000000,20234015,0,58150000,7781306,12000000,0,0,0,0,323406,0,0,0,250000000,0,211956567,24000000,0,0,0,0,19299,1152245,0,107200000,0,0,0,0,20200000,0,30000000,0,0,1768865556
GRC,0,0,0,0,0,0,0,0,0,0,390360,0,0,0,0,0,0,0,0,0,0,0,559880,0,0,0,0,0,2083315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000
HKG,0,0,0,0,0,0,0,0,0,0,0,11600000,0,0,38000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349015000,0,0,0,5000000,0,0,84200000,0,6100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100000,0,0,0,0,0,0,0,166350000
IND,0,0,0,0,0,0,15439200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356850532,0,0,15000000,0,900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3859800,0,0,0,0,0,0,0,167244730
IRL,0,0,0,0,0,0,0,0,0,0,0,0,47200000,0,0,0,0,0,0,0,0,0,0,0,0,6359310,2972580,0,0,0,0,0,0,0,0,95539953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251300000
ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISR,0,0,0,0,0,0,0,0,0,0,0,30000000,13400000,0,2000000,0,0,0,3600000,0,0,0,0,0,0,0,9650000,0,0,0,0,0,0,0,0,0,0,685742500,0,1200000,0,0,0,0,0,0,0,13500000,0,0,0,0,0,0,0,0,0,0,0,5000000,0,7200000,0,0,0,0,0,0,0,555655400
ITA,0,0,0,0,0,0,0,0,0,0,2830520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32165,0,0,0,0,0,0,0,0,0,0,0,24614757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4764721
JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4153219
JPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,75000000,128660000,0,20000000,0,205177365,0,5028862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132815000,0,0,0,6200000,1801240,0,0,3365722852
KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235000,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3369900
KOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,8800000,0,0,0,33448105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000,0,327621200
KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000000,0,0,0,0,0
LBN,1095000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0
LTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUX,0,0,0,0,0,0,15439200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801240,0,0,6111350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61800000
MEX,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000,0,0,0,0,0,0,0,0,52250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43000000
MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15500000
MYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
